Designator,Mid X,Mid Y,Rotation,Layer
L1_29,143.799,-67.6974,180.0,top
L1_28,143.799,-77.2974,180.0,top
L1_27,143.799,-86.8974,180.0,top
L1_26,143.799,-96.4974,180.0,top
L1_25,143.799,-106.0974,180.0,top
L1_24,143.799,-115.6974,180.0,top
L1_23,143.799,-125.2974,180.0,top
L1_22,143.799,-134.8974,180.0,top
L1_21,143.799,-144.4974,180.0,top
L1_20,125.949,-58.0974,180.0,top
L1_19,125.949,-67.6974,180.0,top
L1_18,125.949,-77.2974,180.0,top
L1_17,125.949,-86.8974,180.0,top
L1_16,125.949,-96.4974,180.0,top
L1_15,125.949,-106.0974,180.0,top
L1_14,125.949,-115.6974,180.0,top
L1_13,125.949,-125.2974,180.0,top
L1_12,125.949,-134.8974,180.0,top
L1_11,125.949,-144.4974,180.0,top
L1_10,108.099,-58.0974,180.0,top
L1_9,108.099,-67.6974,180.0,top
L1_8,108.099,-77.2974,180.0,top
L1_7,108.099,-86.8974,180.0,top
L1_6,108.099,-96.4974,180.0,top
L1_5,108.099,-106.0974,180.0,top
L1_4,108.099,-115.6974,180.0,top
L1_3,108.099,-125.2974,180.0,top
L1_2,108.099,-134.8974,180.0,top
L1,108.099,-144.4974,180.0,top
U1_50,185.649,-56.1974,90.0,top
U1_49,185.649,-65.7974,90.0,top
U1_48,185.649,-75.3974,90.0,top
U1_47,185.649,-84.9974,90.0,top
U1_46,185.649,-94.5974,90.0,top
U1_45,185.649,-104.1974,90.0,top
U1_44,185.649,-113.7974,90.0,top
U1_43,185.649,-123.3974,90.0,top
U1_42,185.649,-132.9974,90.0,top
U1_41,185.649,-142.5974,90.0,top
U1_40,167.799,-56.1974,90.0,top
U1_39,167.799,-65.7974,90.0,top
U1_38,167.799,-75.3974,90.0,top
U1_37,167.799,-84.9974,90.0,top
U1_36,167.799,-94.5974,90.0,top
U1_35,167.799,-104.1974,90.0,top
U1_34,167.799,-113.7974,90.0,top
U1_33,167.799,-123.3974,90.0,top
U1_32,167.799,-132.9974,90.0,top
U1_31,167.799,-142.5974,90.0,top
U1_30,149.949,-56.1974,90.0,top
U1_29,149.949,-65.7974,90.0,top
U1_28,149.949,-75.3974,90.0,top
U1_27,149.949,-84.9974,90.0,top
U1_26,149.949,-94.5974,90.0,top
U1_25,149.949,-104.1974,90.0,top
U1_24,149.949,-113.7974,90.0,top
U1_23,149.949,-123.3974,90.0,top
U1_22,149.949,-132.9974,90.0,top
U1_21,149.949,-142.5974,90.0,top
U1_20,132.099,-56.1974,90.0,top
U1_19,132.099,-65.7974,90.0,top
U1_18,132.099,-75.3974,90.0,top
U1_17,132.099,-84.9974,90.0,top
U1_16,132.099,-94.5974,90.0,top
U1_15,132.099,-104.1974,90.0,top
U1_14,132.099,-113.7974,90.0,top
U1_13,132.099,-123.3974,90.0,top
U1_12,132.099,-132.9974,90.0,top
U1_11,132.099,-142.5974,90.0,top
U1_10,114.249,-56.1974,90.0,top
U1_9,114.249,-65.7974,90.0,top
U1_8,114.249,-75.3974,90.0,top
U1_7,114.249,-84.9974,90.0,top
U1_6,114.249,-94.5974,90.0,top
U1_5,114.249,-104.1974,90.0,top
U1_4,114.249,-113.7974,90.0,top
U1_3,114.249,-123.3974,90.0,top
U1_2,114.249,-132.9974,90.0,top
U1,114.249,-142.5974,90.0,top
